Explanation of data format:,,,,,,,,
,,,,,,,,
CurNum - current number of the meteor in the look-up table.,,,,,,,,
SolLon - ecliptic longitude of Sun at the meteor instant (J2000).,,,,,,,,
SCELoG - Sun centered ecliptic longitude of the geocentric radiant.,,,,,,,,
ELaG -  ecliptic latitude of the geocentric radiant.,,,,,,,,
VG -  geocentric velocity.,,,,,,,,
IAUNo -   IAU numerical code of the shower.,,,,,,,,
IAUCoe -  IAU 3 letter code of the shower.            Not obligatory,,,,,,,,
CatCod -  code of the source catalogue of the meteor. Not obligatory,,,,,,,,
MetCod -  meteor code given in the source catalogue.  Not obligatory,,,,,,,,
,,,,,,,,
CurNum,SolLon,SCELoG,ELaG,VG,IAUNo,IAUCode,CatCod,MetCod
:-----------------------------------------------------------------------,,,,,,,,
65,110.062500,292.41,-48.88,48.59,-1,SER,pansy,1752323923954517
66,110.062500,287.16,-50.13,47.28,-1,SER,pansy,1752325658730743
67,110.375000,301.53,-49.00,47.28,-1,SER,pansy,1752350408153264
68,110.375000,290.97,-48.56,47.47,-1,SER,pansy,1752351722580640
69,110.437500,287.88,-48.72,48.00,-1,SER,pansy,1752354769363448
70,110.437500,290.16,-50.28,48.38,-1,SER,pansy,1752356078235624
71,110.500000,291.00,-48.09,49.41,-1,SER,pansy,1752361541181956
72,110.500000,291.59,-47.59,48.69,-1,SER,pansy,1752362179676440
73,110.625000,294.63,-47.16,47.97,-1,SER,pansy,1752373034581894
74,110.687500,289.41,-47.56,49.28,-1,SER,pansy,1752382204207119
75,110.812500,291.84,-45.97,50.50,-1,SER,pansy,1752390642667460
76,110.875000,295.97,-47.75,48.88,-1,SER,pansy,1752395218981674
77,110.937500,293.81,-46.94,49.09,-1,SER,pansy,1752402189006602
78,110.937500,296.38,-50.38,46.88,-1,SER,pansy,1752403279061155
79,113.562500,299.59,-47.25,48.97,-1,SER,pansy,1752638403849596
80,113.250000,289.66,-45.53,51.31,-1,SER,pansy,1784168071458380
81,113.625000,292.38,-52.38,47.81,-1,SER,pansy,1784203773431412
82,114.625000,290.78,-49.53,49.09,-1,SER,pansy,1752735616454692
83,114.250000,293.03,-53.69,46.75,-1,SER,pansy,1784263146926185
